uid,currencies
1,
989,3762;3928
990,3762;3928
991,3762;3928
992,3762;3928
993,3762;3928
994,3762;3928
995,3762;3928
996,3762;3928
997,3762;3928
998,3762;3928
999,3762;3928
1000,3762;3928
1001,3762;3928
