uid,currencies
1,
256,840;978
257,840;978
258,840;978
259,840;978
260,840;978
261,840;978
262,840;978
263,840;978
264,840;978
265,840;978
266,840;978
267,840;978
268,840;978
269,840;978
270,840;978
271,840;978
272,840;978
273,840;978
274,840;978
275,840;978
276,840;978
277,840;978
278,840;978
279,840;978
280,840;978
281,840;978
282,840;978
283,840;978
284,840;978
285,840;978
286,840;978
287,840;978
288,840;978
289,840;978
290,840;978
291,840;978
292,840;978
293,840;978
294,840;978
295,840;978
296,840;978
297,840;978
298,840;978
299,840;978
300,840;978
301,840;978
302,840;978
303,840;978
304,840;978
305,840;978
306,840;978
307,840;978
308,840;978
309,840;978
310,840;978
311,840;978
312,840;978
313,840;978
314,840;978
315,840;978
316,840;978
317,840;978
318,840;978
319,840;978
320,840;978
321,840;978
322,840;978
323,840;978
324,840;978
325,840;978
326,840;978
327,840;978
328,840;978
329,840;978
330,840;978
331,840;978
332,840;978
333,840;978
334,840;978
335,840;978
336,840;978
337,840;978
338,840;978
339,840;978
340,840;978
341,840;978
342,840;978
343,840;978
344,840;978
345,840;978
346,840;978
347,840;978
348,840;978
349,840;978
350,840;978
351,840;978
352,840;978
353,840;978
354,840;978
355,840;978
356,840;978
357,840;978
358,840;978
359,840;978
360,840;978
361,840;978
362,840;978
363,840;978
364,840;978
365,840;978
366,840;978
367,840;978
368,840;978
369,840;978
370,840;978
371,840;978
372,840;978
373,840;978
374,840;978
375,840;978
376,840;978
377,840;978
378,840;978
379,840;978
380,840;978
381,840;978
382,840;978
383,840;978
384,840;978
385,840;978
386,840;978
387,840;978
388,840;978
389,840;978
390,840;978
391,840;978
392,840;978
393,840;978
394,840;978
395,840;978
396,840;978
397,840;978
398,840;978
399,840;978
400,840;978
401,840;978
402,840;978
403,840;978
404,840;978
405,840;978
406,840;978
407,840;978
408,840;978
409,840;978
410,840;978
411,840;978
412,840;978
413,840;978
414,840;978
415,840;978
416,840;978
417,840;978
418,840;978
419,840;978
420,840;978
421,840;978
422,840;978
423,840;978
424,840;978
425,840;978
426,840;978
427,840;978
428,840;978
429,840;978
430,840;978
431,840;978
432,840;978
433,840;978
434,840;978
435,840;978
436,840;978
437,840;978
438,840;978
439,840;978
440,840;978
441,840;978
442,840;978
443,840;978
444,840;978
445,840;978
446,840;978
447,840;978
448,840;978
449,840;978
450,840;978
451,840;978
452,840;978
453,840;978
454,840;978
455,840;978
456,840;978
457,840;978
458,840;978
459,840;978
460,840;978
461,840;978
462,840;978
463,840;978
464,840;978
465,840;978
466,840;978
467,840;978
468,840;978
469,840;978
470,840;978
471,840;978
472,840;978
473,840;978
474,840;978
475,840;978
476,840;978
477,840;978
478,840;978
479,840;978
480,840;978
481,840;978
482,840;978
483,840;978
484,840;978
485,840;978
486,840;978
487,840;978
488,840;978
489,840;978
490,840;978
491,840;978
492,840;978
493,840;978
494,840;978
495,840;978
496,840;978
497,840;978
498,840;978
499,840;978
500,840;978
501,840;978
502,840;978
503,840;978
504,840;978
505,840;978
506,840;978
507,840;978
508,840;978
509,840;978
510,840;978
511,840;978
512,840;978
513,840;978
514,840;978
515,840;978
516,840;978
517,840;978
518,840;978
519,840;978
520,840;978
521,840;978
522,840;978
523,840;978
524,840;978
525,840;978
526,840;978
527,840;978
528,840;978
529,840;978
530,840;978
531,840;978
532,840;978
533,840;978
534,840;978
535,840;978
536,840;978
537,840;978
538,840;978
539,840;978
540,840;978
541,840;978
542,840;978
543,840;978
544,840;978
545,840;978
546,840;978
547,840;978
548,840;978
549,840;978
550,840;978
551,840;978
552,840;978
553,840;978
554,840;978
555,840;978
556,840;978
557,840;978
558,840;978
559,840;978
560,840;978
561,840;978
562,840;978
563,840;978
564,840;978
565,840;978
566,840;978
567,840;978
568,840;978
569,840;978
570,840;978
571,840;978
572,840;978
573,840;978
574,840;978
575,840;978
576,840;978
577,840;978
578,840;978
579,840;978
580,840;978
581,840;978
582,840;978
583,840;978
584,840;978
585,840;978
586,840;978
587,840;978
588,840;978
589,840;978
590,840;978
591,840;978
592,840;978
593,840;978
594,840;978
595,840;978
596,840;978
597,840;978
598,840;978
599,840;978
600,840;978
601,840;978
602,840;978
603,840;978
604,840;978
605,840;978
606,840;978
607,840;978
608,840;978
609,840;978
610,840;978
611,840;978
612,840;978
613,840;978
614,840;978
615,840;978
616,840;978
617,840;978
618,840;978
619,840;978
620,840;978
621,840;978
622,840;978
623,840;978
624,840;978
625,840;978
626,840;978
627,840;978
628,840;978
629,840;978
630,840;978
631,840;978
632,840;978
633,840;978
634,840;978
635,840;978
636,840;978
637,840;978
638,840;978
639,840;978
640,840;978
641,840;978
642,840;978
643,840;978
644,840;978
645,840;978
646,840;978
647,840;978
648,840;978
649,840;978
650,840;978
651,840;978
652,840;978
653,840;978
654,840;978
655,840;978
656,840;978
657,840;978
658,840;978
659,840;978
660,840;978
661,840;978
662,840;978
663,840;978
664,840;978
665,840;978
666,840;978
667,840;978
668,840;978
669,840;978
670,840;978
671,840;978
672,840;978
673,840;978
674,840;978
675,840;978
676,840;978
677,840;978
678,840;978
679,840;978
680,840;978
681,840;978
682,840;978
683,840;978
684,840;978
685,840;978
686,840;978
687,840;978
688,840;978
689,840;978
690,840;978
691,840;978
692,840;978
693,840;978
694,840;978
695,840;978
696,840;978
697,840;978
698,840;978
699,840;978
700,840;978
701,840;978
702,840;978
703,840;978
704,840;978
705,840;978
706,840;978
707,840;978
708,840;978
709,840;978
710,840;978
711,840;978
712,840;978
713,840;978
714,840;978
715,840;978
716,840;978
717,840;978
718,840;978
719,840;978
720,840;978
721,840;978
722,840;978
723,840;978
724,840;978
725,840;978
726,840;978
727,840;978
728,840;978
729,840;978
730,840;978
731,840;978
732,840;978
733,840;978
734,840;978
735,840;978
736,840;978
737,840;978
738,840;978
739,840;978
740,840;978
741,840;978
742,840;978
743,840;978
744,840;978
745,840;978
746,840;978
747,840;978
748,840;978
749,840;978
750,840;978
751,840;978
752,840;978
753,840;978
754,840;978
755,840;978
756,840;978
757,840;978
758,840;978
759,840;978
760,840;978
761,840;978
762,840;978
763,840;978
764,840;978
765,840;978
766,840;978
767,840;978
768,840;978
769,840;978
770,840;978
771,840;978
772,840;978
773,840;978
774,840;978
775,840;978
776,840;978
777,840;978
778,840;978
779,840;978
780,840;978
781,840;978
782,840;978
783,840;978
784,840;978
785,840;978
786,840;978
787,840;978
788,840;978
789,840;978
790,840;978
791,840;978
792,840;978
793,840;978
794,840;978
795,840;978
796,840;978
797,840;978
798,840;978
799,840;978
800,840;978
801,840;978
802,840;978
803,840;978
804,840;978
805,840;978
806,840;978
807,840;978
808,840;978
809,840;978
810,840;978
811,840;978
812,840;978
813,840;978
814,840;978
815,840;978
816,840;978
817,840;978
818,840;978
819,840;978
820,840;978
821,840;978
822,840;978
823,840;978
824,840;978
825,840;978
826,840;978
827,840;978
828,840;978
829,840;978
830,840;978
831,840;978
832,840;978
833,840;978
834,840;978
835,840;978
836,840;978
837,840;978
838,840;978
839,840;978
840,840;978
841,840;978
842,840;978
843,840;978
844,840;978
845,840;978
846,840;978
847,840;978
848,840;978
849,840;978
850,840;978
851,840;978
852,840;978
853,840;978
854,840;978
855,840;978
856,840;978
857,840;978
858,840;978
859,840;978
860,840;978
861,840;978
862,840;978
863,840;978
864,840;978
865,840;978
866,840;978
867,840;978
868,840;978
869,840;978
870,840;978
871,840;978
872,840;978
873,840;978
874,840;978
875,840;978
876,840;978
877,840;978
878,840;978
879,840;978
880,840;978
881,840;978
882,840;978
883,840;978
884,840;978
885,840;978
886,840;978
887,840;978
888,840;978
889,840;978
890,840;978
891,840;978
892,840;978
893,840;978
894,840;978
895,840;978
896,840;978
897,840;978
898,840;978
899,840;978
900,840;978
901,840;978
902,840;978
903,840;978
904,840;978
905,840;978
906,840;978
907,840;978
908,840;978
909,840;978
910,840;978
911,840;978
912,840;978
913,840;978
914,840;978
915,840;978
916,840;978
917,840;978
918,840;978
919,840;978
920,840;978
921,840;978
922,840;978
923,840;978
924,840;978
925,840;978
926,840;978
927,840;978
928,840;978
929,840;978
930,840;978
931,840;978
932,840;978
933,840;978
934,840;978
935,840;978
936,840;978
937,840;978
938,840;978
939,840;978
940,840;978
941,840;978
942,840;978
943,840;978
944,840;978
945,840;978
946,840;978
947,840;978
948,840;978
949,840;978
950,840;978
951,840;978
952,840;978
953,840;978
954,840;978
955,840;978
956,840;978
957,840;978
958,840;978
959,840;978
960,840;978
961,840;978
962,840;978
963,840;978
964,840;978
965,840;978
966,840;978
967,840;978
968,840;978
969,840;978
970,840;978
971,840;978
972,840;978
973,840;978
974,840;978
975,840;978
976,840;978
977,840;978
978,840;978
979,840;978
980,840;978
981,840;978
982,840;978
983,840;978
984,840;978
985,840;978
986,840;978
987,840;978
988,840;978
989,840;978
990,840;978
991,840;978
992,840;978
993,840;978
994,840;978
995,840;978
996,840;978
997,840;978
998,840;978
999,840;978
1000,840;978
1001,840;978
