event_type,order_id,user_id,seq_id,filled_qty,remaining_qty,price,reason
accepted,137,408,137,,,,
accepted,138,325,138,,,,
accepted,139,241,139,,,,
accepted,140,101,140,,,,
filled,140,101,,2936000,,8510458,
accepted,141,30,141,,,,
accepted,142,544,142,,,,
accepted,143,392,143,,,,
filled,143,392,,1819000,,8505042,
accepted,144,261,144,,,,
accepted,145,560,145,,,,
accepted,146,435,146,,,,
accepted,147,368,147,,,,
accepted,148,703,148,,,,
accepted,149,925,149,,,,
accepted,150,636,150,,,,
accepted,151,100,151,,,,
accepted,152,750,152,,,,
accepted,153,806,153,,,,
accepted,154,494,154,,,,
filled,154,494,,43601000,,8505042,
accepted,155,78,155,,,,
accepted,156,15,156,,,,
accepted,157,391,157,,,,
partial_filled,157,391,,30334400,64958100,,
accepted,158,938,158,,,,
accepted,159,665,159,,,,
filled,159,665,,3707500,,8504867,
accepted,160,100,160,,,,
accepted,161,602,161,,,,
filled,161,602,,1325700,,8503487,
accepted,162,418,162,,,,
filled,162,418,,2697700,,8503487,
accepted,163,242,163,,,,
partial_filled,163,242,,807829900,192170100,,
accepted,164,368,164,,,,
filled,164,368,,2635200,,8480144,
accepted,165,655,165,,,,
filled,165,655,,4700400,,8478829,
accepted,166,579,166,,,,
accepted,167,239,167,,,,
filled,167,239,,3496100,,8480144,
accepted,168,257,168,,,,
filled,168,257,,2284600,,8478829,
accepted,169,808,169,,,,
filled,169,808,,13020300,,8480144,
accepted,170,488,170,,,,
accepted,171,630,171,,,,
accepted,172,988,172,,,,
accepted,173,730,173,,,,
accepted,174,282,174,,,,
accepted,175,302,175,,,,
partial_filled,175,302,,173018500,167285200,,
accepted,176,667,176,,,,
accepted,177,424,177,,,,
accepted,178,682,178,,,,
accepted,179,88,179,,,,
filled,179,88,,61008700,,8503435,
accepted,180,601,180,,,,
accepted,181,964,181,,,,
accepted,182,218,182,,,,
accepted,183,118,183,,,,
accepted,184,659,184,,,,
accepted,185,280,185,,,,
accepted,186,146,186,,,,
accepted,187,465,187,,,,
accepted,188,87,188,,,,
filled,188,87,,7755800,,8495030,
accepted,189,622,189,,,,
filled,189,622,,1749600,,8504397,
accepted,190,291,190,,,,
accepted,191,614,191,,,,
filled,191,614,,184877600,,8517290,
accepted,192,297,192,,,,
filled,192,297,,2601600,,8521998,
accepted,193,721,193,,,,
accepted,194,760,194,,,,
filled,194,760,,89928400,,8521998,
accepted,195,588,195,,,,
accepted,196,371,196,,,,
accepted,197,406,197,,,,
accepted,198,649,198,,,,
accepted,199,839,199,,,,
accepted,200,157,200,,,,
accepted,201,773,201,,,,
accepted,202,640,202,,,,
accepted,203,647,203,,,,
partial_filled,203,647,,4677700,5599900,,
accepted,204,463,204,,,,
accepted,205,394,205,,,,
accepted,206,830,206,,,,
filled,206,830,,10867800,,8498003,
accepted,207,462,207,,,,
accepted,208,177,208,,,,
accepted,209,373,209,,,,
filled,209,373,,3554600,,8506915,
accepted,210,809,210,,,,
accepted,211,259,211,,,,
accepted,212,597,212,,,,
accepted,213,133,213,,,,
accepted,214,833,214,,,,
accepted,215,317,215,,,,
filled,215,317,,9553500,,8506915,
accepted,216,141,216,,,,
filled,216,141,,10439300,,8506915,
accepted,217,757,217,,,,
filled,217,757,,22004000,,8495030,
accepted,218,386,218,,,,
partial_filled,218,386,,86037000,184417300,,
accepted,219,739,219,,,,
accepted,220,292,220,,,,
filled,220,292,,865000,,8519884,
accepted,221,585,221,,,,
filled,221,585,,5255600,,8519884,
accepted,222,990,222,,,,
accepted,223,957,223,,,,
accepted,224,280,224,,,,
accepted,225,406,225,,,,
filled,225,406,,7180500,,8519884,
accepted,226,954,226,,,,
accepted,227,852,227,,,,
accepted,228,562,228,,,,
filled,228,562,,25400900,,8519884,
accepted,229,125,229,,,,
accepted,230,927,230,,,,
accepted,231,299,231,,,,
accepted,232,88,232,,,,
accepted,233,520,233,,,,
filled,233,520,,31054700,,8519884,
accepted,234,751,234,,,,
filled,234,751,,21429700,,8519884,
accepted,235,361,235,,,,
filled,235,361,,38255400,,8519884,
accepted,236,713,236,,,,
accepted,237,408,237,,,,
filled,237,408,,22384400,,8519884,
accepted,238,366,238,,,,
filled,238,366,,545700,,8519884,
accepted,239,448,239,,,,
accepted,240,947,240,,,,
filled,240,947,,7109100,,8519884,
accepted,241,843,241,,,,
accepted,242,457,242,,,,
accepted,243,891,243,,,,
partial_filled,243,891,,24936300,30972500,,
accepted,244,59,244,,,,
accepted,245,976,245,,,,
accepted,246,242,246,,,,
partial_filled,246,242,,9236400,6262500,,
accepted,247,696,247,,,,
accepted,248,286,248,,,,
filled,248,286,,9959900,,8515084,
accepted,249,576,249,,,,
accepted,250,711,250,,,,
accepted,251,921,251,,,,
accepted,252,564,252,,,,
accepted,253,521,253,,,,
accepted,254,370,254,,,,
accepted,255,89,255,,,,
accepted,256,420,256,,,,
filled,256,420,,19463000,,8498718,
accepted,257,697,257,,,,
filled,257,697,,13775000,,8495030,
accepted,258,787,258,,,,
accepted,259,331,259,,,,
filled,259,331,,10702800,,8495030,
accepted,260,81,260,,,,
accepted,261,547,261,,,,
accepted,262,640,262,,,,
accepted,263,30,263,,,,
accepted,264,586,264,,,,
accepted,265,980,265,,,,
filled,265,980,,6426100,,8505279,
accepted,266,706,266,,,,
accepted,267,321,267,,,,
accepted,268,779,268,,,,
accepted,269,254,269,,,,
filled,269,254,,50053600,,8506186,
accepted,270,986,270,,,,
filled,270,986,,13375900,,8495030,
accepted,271,782,271,,,,
accepted,272,93,272,,,,
accepted,273,52,273,,,,
accepted,274,9,274,,,,
accepted,275,375,275,,,,
accepted,276,396,276,,,,
filled,276,396,,2641800,,8513845,
accepted,277,348,277,,,,
partial_filled,277,348,,3440000,12094300,,
accepted,278,42,278,,,,
filled,278,42,,8830000,,8505916,
accepted,279,621,279,,,,
filled,279,621,,4633600,,8495030,
accepted,280,632,280,,,,
filled,280,632,,60885300,,8495030,
accepted,281,726,281,,,,
accepted,282,427,282,,,,
accepted,283,802,283,,,,
accepted,284,537,284,,,,
accepted,285,33,285,,,,
accepted,286,423,286,,,,
accepted,287,142,287,,,,
accepted,288,980,288,,,,
accepted,289,739,289,,,,
accepted,290,286,290,,,,
filled,290,286,,4807100,,8495030,
accepted,291,213,291,,,,
accepted,292,739,292,,,,
filled,292,739,,30184400,,8508999,
accepted,293,295,293,,,,
filled,293,295,,48965700,,8491450,
accepted,294,220,294,,,,
accepted,295,631,295,,,,
accepted,296,239,296,,,,
accepted,297,958,297,,,,
accepted,298,293,298,,,,
accepted,299,741,299,,,,
filled,299,741,,2722100,,8488003,
accepted,300,957,300,,,,
accepted,301,986,301,,,,
accepted,302,951,302,,,,
filled,302,951,,12462900,,8487723,
accepted,303,962,303,,,,
accepted,304,749,304,,,,
partial_filled,304,749,,41149500,142436700,,
accepted,305,582,305,,,,
filled,305,582,,18229700,,8503321,
accepted,306,438,306,,,,
filled,306,438,,3891200,,8503321,
accepted,307,332,307,,,,
filled,307,332,,8294500,,8503321,
accepted,308,338,308,,,,
accepted,309,64,309,,,,
accepted,310,964,310,,,,
accepted,311,766,311,,,,
accepted,312,611,312,,,,
filled,312,611,,17661000,,8503321,
accepted,313,578,313,,,,
accepted,314,169,314,,,,
accepted,315,94,315,,,,
accepted,316,578,316,,,,
accepted,317,837,317,,,,
accepted,318,555,318,,,,
accepted,319,785,319,,,,
accepted,320,460,320,,,,
accepted,321,553,321,,,,
accepted,322,131,322,,,,
filled,322,131,,1737100,,8503321,
accepted,323,690,323,,,,
accepted,324,159,324,,,,
accepted,325,905,325,,,,
filled,325,905,,15476100,,8503321,
accepted,326,689,326,,,,
filled,326,689,,7200200,,8503321,
accepted,327,223,327,,,,
accepted,328,592,328,,,,
accepted,329,677,329,,,,
accepted,330,753,330,,,,
accepted,331,965,331,,,,
accepted,332,308,332,,,,
accepted,333,725,333,,,,
accepted,334,543,334,,,,
partial_filled,334,543,,1978600,18441000,,
accepted,335,275,335,,,,
accepted,336,223,336,,,,
accepted,337,619,337,,,,
accepted,338,478,338,,,,
accepted,339,101,339,,,,
accepted,340,321,340,,,,
accepted,341,958,341,,,,
accepted,342,584,342,,,,
accepted,343,842,343,,,,
accepted,344,361,344,,,,
accepted,345,658,345,,,,
accepted,346,70,346,,,,
filled,346,70,,4257900,,8503682,
accepted,347,683,347,,,,
accepted,348,740,348,,,,
accepted,349,826,349,,,,
filled,349,826,,10861900,,8503682,
accepted,350,635,350,,,,
accepted,351,416,351,,,,
filled,351,416,,501000,,8503767,
accepted,352,83,352,,,,
accepted,353,566,353,,,,
accepted,354,879,354,,,,
accepted,355,278,355,,,,
filled,355,278,,105287400,,8505523,
accepted,356,34,356,,,,
accepted,357,841,357,,,,
accepted,358,855,358,,,,
accepted,359,810,359,,,,
accepted,360,349,360,,,,
accepted,361,650,361,,,,
accepted,362,677,362,,,,
accepted,363,275,363,,,,
accepted,364,110,364,,,,
accepted,365,90,365,,,,
accepted,366,363,366,,,,
accepted,367,743,367,,,,
accepted,368,390,368,,,,
partial_filled,368,390,,3186600,162000,,
accepted,369,283,369,,,,
accepted,370,641,370,,,,
accepted,371,390,371,,,,
accepted,372,988,372,,,,
accepted,373,288,373,,,,
partial_filled,373,288,,162000,14800100,,
accepted,374,559,374,,,,
accepted,375,852,375,,,,
accepted,376,649,376,,,,
accepted,377,460,377,,,,
accepted,378,709,378,,,,
filled,378,709,,158676200,,8508162,
accepted,379,609,379,,,,
filled,379,609,,18753100,,8503384,
accepted,380,663,380,,,,
accepted,381,109,381,,,,
accepted,382,590,382,,,,
accepted,383,155,383,,,,
accepted,384,467,384,,,,
accepted,385,46,385,,,,
filled,385,46,,32523000,,8506304,
accepted,386,169,386,,,,
accepted,387,437,387,,,,
filled,387,437,,1045000,,8503321,
accepted,388,443,388,,,,
accepted,389,5,389,,,,
filled,389,5,,3026600,,8503321,
accepted,390,469,390,,,,
accepted,391,398,391,,,,
accepted,392,834,392,,,,
accepted,393,321,393,,,,
accepted,394,429,394,,,,
accepted,395,942,395,,,,
accepted,396,323,396,,,,
accepted,397,200,397,,,,
accepted,398,426,398,,,,
accepted,399,226,399,,,,
filled,399,226,,2073600,,8506610,
accepted,400,761,400,,,,
accepted,401,557,401,,,,
accepted,402,34,402,,,,
accepted,403,831,403,,,,
accepted,404,631,404,,,,
accepted,405,288,405,,,,
filled,405,288,,2868200,,8503587,
accepted,406,976,406,,,,
accepted,407,849,407,,,,
accepted,408,643,408,,,,
accepted,409,959,409,,,,
accepted,410,868,410,,,,
accepted,411,65,411,,,,
accepted,412,331,412,,,,
accepted,413,352,413,,,,
partial_filled,413,352,,28018100,45018200,,
accepted,414,17,414,,,,
accepted,415,136,415,,,,
accepted,416,681,416,,,,
filled,416,681,,1891600,,8502664,
accepted,417,240,417,,,,
accepted,418,608,418,,,,
accepted,419,881,419,,,,
accepted,420,105,420,,,,
accepted,421,896,421,,,,
accepted,422,666,422,,,,
accepted,423,223,423,,,,
filled,423,223,,14538400,,8503142,
accepted,424,987,424,,,,
accepted,425,616,425,,,,
accepted,426,675,426,,,,
filled,426,675,,2678800,,8502664,
accepted,427,662,427,,,,
accepted,428,512,428,,,,
filled,428,512,,1401200,,8502664,
accepted,429,325,429,,,,
accepted,430,782,430,,,,
accepted,431,221,431,,,,
filled,431,221,,10468600,,8503142,
accepted,432,514,432,,,,
accepted,433,157,433,,,,
accepted,434,650,434,,,,
accepted,435,977,435,,,,
filled,435,977,,7346000,,8501785,
accepted,436,624,436,,,,
accepted,437,530,437,,,,
accepted,438,66,438,,,,
accepted,439,57,439,,,,
accepted,440,588,440,,,,
filled,440,588,,124300,,8501518,
accepted,441,184,441,,,,
accepted,442,427,442,,,,
accepted,443,690,443,,,,
filled,443,690,,1257100,,8501417,
accepted,444,290,444,,,,
accepted,445,299,445,,,,
accepted,446,506,446,,,,
accepted,447,155,447,,,,
accepted,448,899,448,,,,
accepted,449,315,449,,,,
accepted,450,146,450,,,,
filled,450,146,,84047700,,8497807,
accepted,451,718,451,,,,
accepted,452,653,452,,,,
filled,452,653,,93200,,8497455,
accepted,453,243,453,,,,
accepted,454,335,454,,,,
accepted,455,599,455,,,,
filled,455,599,,5802700,,8503142,
accepted,456,367,456,,,,
filled,456,367,,5030400,,8497681,
accepted,457,162,457,,,,
accepted,458,878,458,,,,
filled,458,878,,4662800,,8503142,
accepted,459,694,459,,,,
accepted,460,97,460,,,,
accepted,461,646,461,,,,
filled,461,646,,71701200,,8497455,
accepted,462,95,462,,,,
accepted,463,173,463,,,,
accepted,464,437,464,,,,
filled,464,437,,3953300,,8503142,
accepted,465,422,465,,,,
accepted,466,659,466,,,,
accepted,467,497,467,,,,
accepted,468,831,468,,,,
filled,468,831,,13838000,,8497417,
accepted,469,239,469,,,,
filled,469,239,,380000,,8497400,
accepted,470,940,470,,,,
accepted,471,866,471,,,,
partial_filled,471,866,,19930600,6070400,,
accepted,472,606,472,,,,
accepted,473,193,473,,,,
accepted,474,39,474,,,,
accepted,475,940,475,,,,
accepted,476,146,476,,,,
accepted,477,965,477,,,,
accepted,478,655,478,,,,
accepted,479,180,479,,,,
accepted,480,872,480,,,,
partial_filled,480,872,,16775200,264501000,,
accepted,481,991,481,,,,
accepted,482,80,482,,,,
accepted,483,908,483,,,,
filled,483,908,,21497100,,8502782,
accepted,484,806,484,,,,
filled,484,806,,70436000,,8502782,
accepted,485,388,485,,,,
accepted,486,777,486,,,,
accepted,487,327,487,,,,
filled,487,327,,32860500,,8498516,
accepted,488,77,488,,,,
accepted,489,495,489,,,,
accepted,490,55,490,,,,
filled,490,55,,62064600,,8502612,
accepted,491,748,491,,,,
accepted,492,563,492,,,,
filled,492,563,,7679200,,8497400,
accepted,493,678,493,,,,
accepted,494,84,494,,,,
filled,494,84,,4910300,,8502782,
accepted,495,272,495,,,,
accepted,496,457,496,,,,
accepted,497,155,497,,,,
accepted,498,995,498,,,,
accepted,499,989,499,,,,
accepted,500,81,500,,,,
accepted,501,586,501,,,,
accepted,502,172,502,,,,
accepted,503,265,503,,,,
accepted,504,566,504,,,,
filled,504,566,,19411000,,8501651,
accepted,505,430,505,,,,
filled,505,430,,287161000,,8504938,
accepted,506,889,506,,,,
accepted,507,624,507,,,,
accepted,508,412,508,,,,
accepted,509,943,509,,,,
accepted,510,864,510,,,,
accepted,511,998,511,,,,
accepted,512,92,512,,,,
filled,512,92,,131704900,,8512432,
accepted,513,889,513,,,,
filled,513,889,,3221500,,8512846,
accepted,514,537,514,,,,
filled,514,537,,3054500,,8508586,
accepted,515,941,515,,,,
accepted,516,946,516,,,,
accepted,517,892,517,,,,
accepted,518,851,518,,,,
filled,518,851,,1316100,,8508586,
accepted,519,989,519,,,,
accepted,520,526,520,,,,
accepted,521,9,521,,,,
accepted,522,282,522,,,,
accepted,523,694,523,,,,
accepted,524,290,524,,,,
accepted,525,729,525,,,,
filled,525,729,,10603300,,8508586,
accepted,526,59,526,,,,
accepted,527,739,527,,,,
accepted,528,755,528,,,,
accepted,529,228,529,,,,
accepted,530,308,530,,,,
accepted,531,132,531,,,,
accepted,532,228,532,,,,
accepted,533,267,533,,,,
filled,533,267,,17242700,,8508277,
accepted,534,484,534,,,,
accepted,535,56,535,,,,
filled,535,56,,6006700,,8507739,
accepted,536,463,536,,,,
accepted,537,782,537,,,,
filled,537,782,,7275000,,8507645,
accepted,538,489,538,,,,
accepted,539,330,539,,,,
filled,539,330,,5834000,,8505399,
accepted,540,516,540,,,,
filled,540,516,,4808300,,8503599,
accepted,541,746,541,,,,
accepted,542,924,542,,,,
accepted,543,127,543,,,,
accepted,544,548,544,,,,
partial_filled,544,548,,133800,8357800,,
accepted,545,259,545,,,,
filled,545,259,,16157600,,8507854,
accepted,546,678,546,,,,
accepted,547,921,547,,,,
accepted,548,270,548,,,,
accepted,549,562,549,,,,
filled,549,562,,135497300,,8514413,
accepted,550,153,550,,,,
accepted,551,304,551,,,,
filled,551,304,,3286200,,8503932,
accepted,552,437,552,,,,
filled,552,437,,16599200,,8500939,
accepted,553,367,553,,,,
accepted,554,351,554,,,,
accepted,555,872,555,,,,
accepted,556,744,556,,,,
accepted,557,822,557,,,,
accepted,558,884,558,,,,
accepted,559,48,559,,,,
accepted,560,762,560,,,,
accepted,561,536,561,,,,
accepted,562,680,562,,,,
accepted,563,247,563,,,,
filled,563,247,,12325900,,8503932,
accepted,564,837,564,,,,
accepted,565,458,565,,,,
accepted,566,37,566,,,,
partial_filled,566,37,,18620100,1596400,,
accepted,567,312,567,,,,
accepted,568,846,568,,,,
filled,568,846,,15024100,,8506993,
accepted,569,485,569,,,,
accepted,570,3,570,,,,
accepted,571,719,571,,,,
accepted,572,420,572,,,,
accepted,573,469,573,,,,
filled,573,469,,28456100,,8497391,
accepted,574,127,574,,,,
accepted,575,50,575,,,,
accepted,576,621,576,,,,
accepted,577,987,577,,,,
filled,577,987,,960900,,8509909,
accepted,578,908,578,,,,
filled,578,908,,250664700,,8497149,
accepted,579,958,579,,,,
partial_filled,579,958,,13964600,44180100,,
accepted,580,944,580,,,,
accepted,581,711,581,,,,
accepted,582,966,582,,,,
accepted,583,868,583,,,,
filled,583,868,,7234400,,8495817,
accepted,584,58,584,,,,
accepted,585,860,585,,,,
accepted,586,464,586,,,,
accepted,587,804,587,,,,
accepted,588,427,588,,,,
accepted,589,258,589,,,,
accepted,590,649,590,,,,
accepted,591,795,591,,,,
filled,591,795,,4618400,,8495760,
accepted,592,165,592,,,,
filled,592,165,,18934900,,8495486,
accepted,593,158,593,,,,
accepted,594,309,594,,,,
accepted,595,226,595,,,,
accepted,596,414,596,,,,
filled,596,414,,5082400,,8495817,
accepted,597,224,597,,,,
accepted,598,665,598,,,,
accepted,599,637,599,,,,
filled,599,637,,2236000,,8495817,
accepted,600,117,600,,,,
accepted,601,457,601,,,,
filled,601,457,,6041800,,8495817,
accepted,602,99,602,,,,
accepted,603,886,603,,,,
accepted,604,837,604,,,,
accepted,605,90,605,,,,
partial_filled,605,90,,23585500,36031700,,
accepted,606,462,606,,,,
filled,606,462,,26082700,,8504752,
accepted,607,657,607,,,,
filled,607,657,,4787700,,8504752,
accepted,608,297,608,,,,
partial_filled,608,297,,5161300,28506000,,
accepted,609,405,609,,,,
accepted,610,816,610,,,,
accepted,611,937,611,,,,
accepted,612,43,612,,,,
accepted,613,767,613,,,,
accepted,614,632,614,,,,
accepted,615,69,615,,,,
filled,615,69,,60949200,,8503577,
accepted,616,688,616,,,,
filled,616,688,,45232700,,8494777,
accepted,617,462,617,,,,
accepted,618,828,618,,,,
accepted,619,758,619,,,,
filled,619,758,,19963700,,8495143,
accepted,620,492,620,,,,
accepted,621,622,621,,,,
filled,621,622,,35010500,,8508613,
accepted,622,752,622,,,,
accepted,623,32,623,,,,
accepted,624,153,624,,,,
filled,624,153,,23314400,,8511868,
accepted,625,476,625,,,,
filled,625,476,,70418300,,8494280,
accepted,626,144,626,,,,
filled,626,144,,32394400,,8515311,
accepted,627,368,627,,,,
accepted,628,685,628,,,,
accepted,629,48,629,,,,
accepted,630,593,630,,,,
filled,630,593,,3679100,,8494154,
accepted,631,856,631,,,,
filled,631,856,,3011600,,8516404,
accepted,632,837,632,,,,
accepted,633,143,633,,,,
accepted,634,162,634,,,,
accepted,635,738,635,,,,
accepted,636,421,636,,,,
accepted,637,41,637,,,,
partial_filled,637,41,,6099100,88684200,,
accepted,638,416,638,,,,
accepted,639,291,639,,,,
filled,639,291,,8676900,,8493871,
accepted,640,225,640,,,,
accepted,641,676,641,,,,
filled,641,676,,147868900,,8493006,
accepted,642,71,642,,,,
accepted,643,154,643,,,,
filled,643,154,,81749000,,8492746,
accepted,644,545,644,,,,
filled,644,545,,908100,,8492397,
accepted,645,848,645,,,,
accepted,646,896,646,,,,
accepted,647,391,647,,,,
accepted,648,436,648,,,,
accepted,649,898,649,,,,
accepted,650,385,650,,,,
accepted,651,668,651,,,,
filled,651,668,,15353700,,8492397,
accepted,652,697,652,,,,
filled,652,697,,11976500,,8496725,
accepted,653,573,653,,,,
accepted,654,754,654,,,,
filled,654,754,,405100,,8493592,
accepted,655,973,655,,,,
filled,655,973,,3965100,,8495017,
accepted,656,714,656,,,,
partial_filled,656,714,,54257700,5475200,,
accepted,657,844,657,,,,
accepted,658,82,658,,,,
accepted,659,294,659,,,,
accepted,660,450,660,,,,
accepted,661,803,661,,,,
accepted,662,405,662,,,,
filled,662,405,,15935900,,8494909,
accepted,663,573,663,,,,
accepted,664,200,664,,,,
filled,664,200,,1838600,,8496725,
accepted,665,573,665,,,,
filled,665,573,,18780100,,8496725,
accepted,666,990,666,,,,
accepted,667,698,667,,,,
filled,667,698,,18061200,,8496725,
accepted,668,324,668,,,,
accepted,669,295,669,,,,
accepted,670,916,670,,,,
filled,670,916,,39242000,,8491093,
accepted,671,755,671,,,,
accepted,672,256,672,,,,
accepted,673,7,673,,,,
accepted,674,505,674,,,,
accepted,675,783,675,,,,
accepted,676,819,676,,,,
filled,676,819,,599100,,8495549,
accepted,677,795,677,,,,
accepted,678,13,678,,,,
accepted,679,192,679,,,,
filled,679,192,,15823800,,8491045,
accepted,680,511,680,,,,
accepted,681,462,681,,,,
filled,681,462,,4602600,,8495549,
accepted,682,277,682,,,,
accepted,683,10,683,,,,
accepted,684,738,684,,,,
accepted,685,221,685,,,,
accepted,686,370,686,,,,
accepted,687,360,687,,,,
accepted,688,179,688,,,,
accepted,689,458,689,,,,
accepted,690,172,690,,,,
accepted,691,929,691,,,,
filled,691,929,,5142900,,8493134,
accepted,692,274,692,,,,
accepted,693,462,693,,,,
partial_filled,693,462,,50289300,6355400,,
accepted,694,964,694,,,,
accepted,695,960,695,,,,
accepted,696,86,696,,,,
accepted,697,235,697,,,,
filled,697,235,,39520600,,8502422,
accepted,698,488,698,,,,
accepted,699,972,699,,,,
filled,699,972,,25245400,,8496647,
accepted,700,578,700,,,,
accepted,701,233,701,,,,
accepted,702,1,702,,,,
accepted,703,705,703,,,,
accepted,704,300,704,,,,
accepted,705,733,705,,,,
accepted,706,246,706,,,,
accepted,707,665,707,,,,
accepted,708,297,708,,,,
accepted,709,329,709,,,,
filled,709,329,,4064700,,8502422,
accepted,710,276,710,,,,
accepted,711,805,711,,,,
accepted,712,864,712,,,,
filled,712,864,,5455200,,8496510,
accepted,713,186,713,,,,
accepted,714,787,714,,,,
accepted,715,97,715,,,,
accepted,716,331,716,,,,
accepted,717,493,717,,,,
filled,717,493,,33080100,,8495447,
accepted,718,116,718,,,,
accepted,719,406,719,,,,
accepted,720,611,720,,,,
accepted,721,347,721,,,,
accepted,722,129,722,,,,
accepted,723,914,723,,,,
filled,723,914,,6558600,,8499089,
